ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
12742,EDLF,8382,501,Lecture,"3","David Eddy Spicer","Mo 12:26AM - 12:28AM","Web-Based Course","Educational Inquiry for Practitioners","",Open,0,25,0,"Problems of practice through systematic inquiry are the focus of this course. We explore the intersection of theory and practice with emphasis on the design of thoughtful, ethical inquiry about educational problems of practice. There is a co-requisite (EDLF 5301: Academic Writing for Practitioners that is focused exclusively on academic writing to address problems of practice)."
12678,EDLF,8820,500,Lecture,"3","Sara Dexter","WeTh 9:00AM - 4:00PM","Northern Virginia Center","Fundamentals of Leadership Theory","",Open,0,25,0,"Students will analyze various diverse perspectives, assumptions, strengths, and weaknesses of leadership theories and models. Theories and models will be situated in the American public education context with a special focus on educational leadership at the school and district levels."
10979,EDLF,8988,001,Independent Study,"1 - 3","Staff","TBA","TBA","Administrative Internship","",Open,0,20,0,"Administrative Internship"
12679,EDLF,8988,500,Independent Study,"1 - 3","Sandra Mitchell","We 5:00PM - 7:00PM","Northern Virginia Center","Administrative Internship","",Open,0,20,0,"Administrative Internship"
12680,EDLF,8988,501,Independent Study,"1 - 3","Mary Maschal","We 5:00PM - 7:00PM","Web-Based Course","Administrative Internship","",Open,0,20,0,"Administrative Internship"
10958,EDLF,8998,001,Independent Study,"1 - 12","Diane Whaley","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
10959,EDLF,8998,002,Independent Study,"1 - 12","Joanna Williams","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
10960,EDLF,8998,003,Independent Study,"1 - 12","Sara Rimm-Kaufman","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
10973,EDLF,8998,004,Independent Study,"1 - 12","Pamela Tucker","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
10980,EDLF,8998,005,Independent Study,"1 - 12","Natalia Palacios","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
10995,EDLF,8998,006,Independent Study,"1 - 12","Diane Hoffman","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
11024,EDLF,8998,007,Independent Study,"1 - 12","Daphna Bassok","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
11002,EDLF,8998,008,Independent Study,"1 - 12","Jessica Whittaker","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
11003,EDLF,8998,009,Independent Study,"1 - 12","Jennifer LoCasale-Crouch","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
11045,EDLF,8998,010,Independent Study,"1 - 12","Nancy Deutsch","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
11051,EDLF,8998,011,Independent Study,"1 - 12","Jamie Jirout","TBA","TBA","Masters Research Internship","",Open,0,30,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites:   Permission of Advisor"
12683,EDLF,9000,500,Lecture,"3","Sara Dexter","Fr 9:00AM - 4:00PM","Northern Virginia Center","Advanced Seminar: Administration and Supervision","",Open,0,20,0,"Required for all doctoral degree candidates; deals with dissertation proposal development for students in educational administration."
10945,EDLF,9991,002,Independent Study,"1 - 12","Sara Dexter","TBA","TBA","Ed.D. Research","",Open,0,30,0,"Ed.D. Research conducted under the guidance of capstone committee.  12 hours required for graduation. Permission of Instructor required."
11021,EDLF,9991,004,Independent Study,"1 - 12","Michelle Young","TBA","TBA","Ed.D. Research","",Open,0,30,0,"Ed.D. Research conducted under the guidance of capstone committee.  12 hours required for graduation. Permission of Instructor required."
11022,EDLF,9991,005,Independent Study,"1 - 12","Pamela Tucker","TBA","TBA","Ed.D. Research","",Open,0,30,0,"Ed.D. Research conducted under the guidance of capstone committee.  12 hours required for graduation. Permission of Instructor required."
11023,EDLF,9991,006,Independent Study,"1 - 12","David Eddy Spicer","TBA","TBA","Ed.D. Research","",Open,0,30,0,"Ed.D. Research conducted under the guidance of capstone committee.  12 hours required for graduation. Permission of Instructor required."
12684,EDLF,9991,009,Independent Study,"1 - 12","Sandra Mitchell","TBA","TBA","Ed.D. Research","",Open,0,30,0,"Ed.D. Research conducted under the guidance of capstone committee.  12 hours required for graduation. Permission of Instructor required."
10993,EDLF,9993,001,Independent Study,"1 - 12","Pamela Tucker","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10928,EDLF,9993,002,Independent Study,"1 - 12","Sara Rimm-Kaufman","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
12685,EDLF,9993,003,Independent Study,"1 - 12","David Eddy Spicer","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10930,EDLF,9993,004,Independent Study,"1 - 12","Walter Heinecke","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
11078,EDLF,9993,005,Independent Study,"1 - 12","Karen Inkelas","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10961,EDLF,9993,006,Independent Study,"1 - 12","Tonya Moon","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10963,EDLF,9993,007,Independent Study,"1 - 12","Timothy Konold","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
12686,EDLF,9993,008,Independent Study,"1 - 12","Michelle Young","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10984,EDLF,9993,009,Independent Study,"1 - 12","Sara Dexter","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10985,EDLF,9993,010,Independent Study,"1 - 12","Christian Steinmetz","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
12687,EDLF,9993,011,Independent Study,"1 - 12","Sandra Mitchell","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10992,EDLF,9993,12,Independent Study,"1 - 12","Brian Pusser","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
11034,EDLF,9993,13,Independent Study,"1 - 12","Justin Thompson","TBA","TBA","Independent Study","",Open,0,30,0,"Under close faculty guidance, students work on an area of interest not covered by the curriculum. A plan of study must be signed by the faculty sponsor and filed in the student's permanent file in the Office of Student Affairs.  Prerequisite: Instructor permission."
10931,EDLF,9995,001,Independent Study,"1 - 12","Sara Rimm-Kaufman","TBA","TBA","Independent Research","",Open,0,30,0,"Independent Research"
10933,EDLF,9998,001,Independent Study,"3 - 12","Sara Rimm-Kaufman","TBA","TBA","Doctoral Research Apprenticeship","",Open,0,30,0,"Designed to give doctoral students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites: Advisor Permission Required."
10969,EDLF,9998,004,Independent Study,"3 - 12","Nancy Deutsch","TBA","TBA","Doctoral Research Apprenticeship","",Open,0,30,0,"Designed to give doctoral students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites: Advisor Permission Required."
10970,EDLF,9998,005,Independent Study,"3 - 12","Timothy Konold","TBA","TBA","Doctoral Research Apprenticeship","",Open,0,30,0,"Designed to give doctoral students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites: Advisor Permission Required."
11087,EDLF,9999,001,Independent Study,"3 - 12","Vivian Wong","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10944,EDLF,9999,002,Independent Study,"3 - 12","Carol Tomlinson","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10912,EDLF,9999,003,Independent Study,"3 - 12","Brian Pusser","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10913,EDLF,9999,004,Independent Study,"3 - 12","Nancy Deutsch","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10914,EDLF,9999,005,Independent Study,"3 - 12","Sara Rimm-Kaufman","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
12688,EDLF,9999,006,Independent Study,"3 - 12","David Eddy Spicer","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
11056,EDLF,9999,007,Independent Study,"3 - 12","Derrick Alridge","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10916,EDLF,9999,008,Independent Study,"3 - 12","Pamela Tucker","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
11028,EDLF,9999,009,Independent Study,"3 - 12","James Wyckoff","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10917,EDLF,9999,010,Independent Study,"3 - 12","Walter Heinecke","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
11029,EDLF,9999,011,Independent Study,"3 - 12","Daphna Bassok","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10974,EDLF,9999,015,Independent Study,"3 - 12","Michelle Young","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
11094,EDLF,9999,016,Independent Study,"3 - 12","David Grissmer","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10946,EDLF,9999,017,Independent Study,"3 - 12","Sara Dexter","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10965,EDLF,9999,019,Independent Study,"3 - 12","Diane Hoffman","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
10967,EDLF,9999,020,Independent Study,"3 - 12","Joanna Williams","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
11017,EDLF,9999,021,Independent Study,"3 - 12","Josipa Roksa","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
11019,EDLF,9999,022,Independent Study,"3 - 12","Timothy Konold","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
11032,EDLF,9999,023,Independent Study,"3 - 12","Karen Inkelas","TBA","TBA","Doctoral Dissertation","",Open,0,30,0,"Doctoral Dissertation Research completed under the guidance of dissertation committee. 12 hours is required for graduation. Permission of instructor required."
12699,EDNC,7800,500,Lecture,"0","June Baptist","FrSa 12:00AM - 12:00AM","Northern Virginia Center","Public School Law in K-12 Education","",Open,0,25,0,"Focuses on critical elements of school law to include due process, search and seizure, church/state conflicts, curriculum control & the expression of controversial views, school authority to make rules and policy governing student and teacher conduct, and liability for student injury.  Additionally, issues of equal opportunity such as bilingual education, sexual discrimination and harassment, affirmative active, and special educ will be examined"
12696,EDNC,7805,500,Lecture,"0","Leslie Butz","Sa 12:00AM - 12:00AM","Northern Virginia Center","Internship for K-12 Education Leaders","",Open,0,25,0,"This course is designed to prepare individuals for positions of education leadership by exposing them to hands-on administrators.  Students will be engaged in a significant number of administrative activities at the elementary, middle, and high schools levels as well as at central office and at community out-reach sites.   Students will be mentored on site by licensed school administrators during their 320-hour internship."
12700,EDNC,7806,500,Lecture,"0","Staff","FrSa 12:00AM - 12:00AM","Northern Virginia Center","Practicum for K-12 Education Leaders","",Open,0,25,0,"This course provides students with the necessary blend of theory, best practice, and authentic problems of practice in leadership. The course provides a bridge between their thought in other courses and the practicalities involved as they prepare for the administrative leadership selection process and their first leadership assignment. Students learn how to use personal assessment tools and feedback to construct Individual Development Plans."
12698,EDNC,7807,500,Lecture,"0","Staff","Sa 12:00AM - 12:00AM","Northern Virginia Center","Special Education Module","",Open,0,20,0,"This module will investigate the current legal, moral, and instructional impact of special education policies in the Commonwealth of Virginia and across the nation.  Response to Intervention concepts will be explored in-depth."
12755,EDNC,7815,500,Seminar,"0","Pamela Tucker","TuWeTh 8:30AM - 3:30PM","Northern Virginia Center","Curry Leadership Academy: Coaching for Change","",Open,0,50,0,"The Curry Leadership Academy: Coaching for Change supports school and central office teacher leaders who want to improve their coaching skills and cultivate more professionally stimulating work environments for adult learning in their schools. The three-day workshop focuses on the improvement of instruction through better articulation of quality teaching, carefully crafted coaching questions and more effective feedback."
10727,ENGL,4993,002,Independent Study,"1 - 3","Karen Chase Levenson","TBA","TBA","Independent Study","",Open,0,30,0,"For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: third year, fourth year, English major or minor, AAS major or minor."
10735,ENGL,4993,003,Independent Study,"1 - 3","Karen Chase Levenson","TBA","TBA","Independent Study","",Open,0,30,0,"For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: third year, fourth year, English major or minor, AAS major or minor."
11605,ENGR,4599,001,Independent Study,"0","James Groves","TBA","TBA","Special Topics in Engineering","",Open,0,5,0,"Prerequisite: instructor permission."
11433,ENGR,6890,001,Independent Study,"1 - 3","Kevin Skadron","TBA","TBA","Industrial Applications","",Open,0,30,0,"Students register for this course to complement an industry work experience.  Topics focus on the application of engineering principles, analysis, methods and best practices in an industrial setting.  A final report is required.  Registration is only offered on a Credit/No Credit basis.  Courses taken for Credit/No Credit may not be used for any major or degree requirements."
11494,ENGR,900,001,Independent Study,"0","Staff","MoTuWeThFr 12:00AM - 12:30AM","TBA","International Scholars Independent Study","",Open,0,2,0,"A zero-credit course with enrollment restricted to international scholars."
12348,ENLT,2526,001,Seminar,"3","Charity Fowler","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","Studies in Fiction","Science Fiction",Open,0,18,0,"Studies the techniques of fiction.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10770,ENLT,2555,001,Seminar,"3","Jon D'Errico","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 312","Special Topics","Popular Song Lyrics",Open,0,18,0,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12349,ENMC,3500,001,Lecture,"3","Christopher Krentz","MoTuWeThFr 1:00PM - 3:15PM","Cocke Hall 101","Studies in Modern and Contemporary Literature","Global Identities",Open,0,20,0,"This course takes up topics in the study of literature in English in the twentieth and twenty-first centuries.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12351,ENMD,3510,001,Lecture,"3","Peter Baker","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 330","Medieval European Literature in Translation","Love and Death",Open,0,16,0,"Explores themes in English, French, German, Italian, Irish, Icelandic, and Spanish literature of the Middle Ages.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12352,ENSP,1600,001,Lecture,"3","Claire Chantell","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","Public Speaking","",Open,0,18,0,"The development of skills in the preparation, delivery, and criticism of speeches, with emphasis on the function of audience analysis, evidence, organization, language, and style.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12350,ENSP,3860,001,Lecture,"3","Lisa Woolfork","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 310","Game of Thrones","",Open,0,18,0,"A study of George R. R. Martin's fantasy series and the television series based on it, exploring notions of literary and visual representation, racialism, fan fiction, and the gendered dimensions of power."
12353,ENWR,1510,001,Seminar,"3","Marcus Meade","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 312","Writing and Critical Inquiry","",Open,0,18,0,"The single-semester option for meeting the first writing requirement-- intended to be taken during the first year of study-- this course approaches writing as a way of generating, representing, and reflecting on critical inquiry. Graded A, B, C, or NC. Students whose last names end in A-K must take ENWR 1510 in the fall; those with last names ending in L-Z take it in the spring."
12354,ENWR,2610,001,Workshop,"3","Keith Driver","MoTuWeThFr 1:00PM - 3:15PM","Bryan Hall 310","Writing with Style","",Open,0,16,0,"Develops an understanding of the wide range of stylistic moves in prose writing, their uses, and implications. Students build a rich vocabulary for describing stylistic decisions, imitate and analyze exemplary writing, and discuss each others writing in a workshop setting."
10224,ENWR,2700,001,Lecture,"3","Charles Kelly","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 330","News Writing","",Open,0,16,0,"Introductory course in news writing, emphasizing editorials, features, and reporting.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
11336,EP,8999,001,Independent Study,"1 - 12","Sean Agnew","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11337,EP,8999,003,Independent Study,"1 - 12","James Demas","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11338,EP,8999,004,Independent Study,"1 - 12","John Dorning","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11339,EP,8999,005,Independent Study,"1 - 12","Dana Elzey","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11340,EP,8999,006,Independent Study,"1 - 12","James Fitz-Gerald","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11341,EP,8999,007,Independent Study,"1 - 12","Jerrold Floro","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11342,EP,8999,010,Independent Study,"1 - 12","James Howe","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11343,EP,8999,012,Independent Study,"1 - 12","Robert Johnson","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11344,EP,8999,013,Independent Study,"1 - 12","William Johnson","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11345,EP,8999,014,Independent Study,"1 - 12","Robert Kelly","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11346,EP,8999,015,Independent Study,"1 - 12","Craig Meyer","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11347,EP,8999,016,Independent Study,"1 - 12","Wladek Minor","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11348,EP,8999,018,Independent Study,"1 - 12","Blaine Norum","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11349,EP,8999,019,Independent Study,"1 - 12","Joseph Poon","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11350,EP,8999,020,Independent Study,"1 - 12","Petra Reinke","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11351,EP,8999,021,Independent Study,"1 - 12","Charles Sackett","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11352,EP,8999,022,Independent Study,"1 - 12","John Scully","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11353,EP,8999,023,Independent Study,"1 - 12","Gary Shiflet","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11354,EP,8999,024,Independent Study,"1 - 12","William Soffa","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11355,EP,8999,025,Independent Study,"1 - 12","Haydn Wadley","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11356,EP,8999,026,Independent Study,"1 - 12","Mark Williams","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11357,EP,8999,028,Independent Study,"1 - 12","Giovanni Zangari","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11358,EP,8999,029,Independent Study,"1 - 12","Leonid Zhigilei","TBA","TBA","Master's Degree Research","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11359,EP,9999,001,Independent Study,"1 - 12","Sean Agnew","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11360,EP,9999,003,Independent Study,"1 - 12","James Demas","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11361,EP,9999,004,Independent Study,"1 - 12","John Dorning","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11362,EP,9999,005,Independent Study,"1 - 12","Dana Elzey","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11363,EP,9999,006,Independent Study,"1 - 12","James Fitz-Gerald","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11364,EP,9999,007,Independent Study,"1 - 12","Jerrold Floro","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11365,EP,9999,010,Independent Study,"1 - 12","James Howe","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11366,EP,9999,012,Independent Study,"1 - 12","Robert Johnson","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11367,EP,9999,013,Independent Study,"1 - 12","William Johnson","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11368,EP,9999,014,Independent Study,"1 - 12","Robert Kelly","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11369,EP,9999,015,Independent Study,"1 - 12","Craig Meyer","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11370,EP,9999,016,Independent Study,"1 - 12","Wladek Minor","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11371,EP,9999,018,Independent Study,"1 - 12","Blaine Norum","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11372,EP,9999,019,Independent Study,"1 - 12","Joseph Poon","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11373,EP,9999,020,Independent Study,"1 - 12","Petra Reinke","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
